z,EXP_FAC,MU_SH0ES,MU_SH0ES_ERR,D_L,D_L MAX,D_L MIN,SD,cz
0,1,25,0.01,0.001,0,0,0.01,0
0.0024,0.9976,30.22,0.05,11.0662,11.324,10.8143,0.2548,727
0.003,0.997,30.2,0.05,10.9648,11.2202,10.7152,0.2525,897
0.0008,0.9992,29.08,0.05,6.5464,6.6988,6.3973,0.1507,241
0.0057,0.9944,31.36,0.07,18.7068,19.3197,18.1134,0.6031,1694
0.0057,0.9944,31.36,0.07,18.7068,19.3197,18.1134,0.6031,1694
0.0057,0.9944,31.36,0.07,18.7068,19.3197,18.1134,0.6031,1694
0.0051,0.9949,31.41,0.05,19.1426,19.5884,18.7068,0.4408,1539
0.0061,0.9939,31.29,0.07,18.1134,18.7068,17.5388,0.584,1841
0.0061,0.9939,31.29,0.07,18.1134,18.7068,17.5388,0.584,1841
0.0037,0.9963,31.33,0.06,18.4502,18.9671,17.9473,0.5099,1102
0.0066,0.9934,31.68,0.14,21.677,23.1206,20.3236,1.3985,1979
0.0026,0.9974,31,0.07,15.8489,16.3682,15.3462,0.511,774
0.0032,0.9968,30.99,0.05,15.7761,16.1436,15.417,0.3633,953
0.0072,0.9929,31.01,0.13,15.9221,16.9044,14.9968,0.9538,2151
0.0047,0.9954,30.42,0.07,12.1339,12.5314,11.749,0.3912,1400
0.0047,0.996,30.42,0.07,12.1339,12.5314,11.749,0.3912,1400
0.0012,0.9988,28.9987,1.5165,6.3058,12.6774,3.1365,4.7704,359.7504
0.0012,0.9988,29.0559,1.5175,6.4741,13.0219,3.2187,4.9016,359.7504
0.0026,0.9974,30.7233,0.7824,13.9528,20.0048,9.7316,5.1366,779.4592
0.0026,0.9974,30.7449,0.7991,14.0922,20.3607,9.7536,5.3036,779.4592
0.003,0.997,30.7757,0.8812,14.2935,21.4478,9.5257,5.961,899.376
0.0032,0.9968,30.7946,0.6145,14.4185,19.1349,10.8646,4.1352,959.3344
